,_links,id,paging_token,account,type,type_i,created_at,seller,offer_id,sold_amount,sold_asset_type,sold_asset_code,sold_asset_issuer,bought_amount,bought_asset_type,bought_asset_code,bought_asset_issuer
0,"{'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954378'}, 'succeeds': {'href': 'https://horizon.stellar.org/effects?order=desc&cursor=213489428281954378-2'}, 'precedes': {'href': 'https://horizon.stellar.org/effects?order=asc&cursor=213489428281954378-2'}}",0213489428281954378-0000000002,213489428281954378-2,GB35UVCM6WHF3D66B6N5J2B6RIMTOUQ6QTUWCVZVIDPADJYVLO75BCBS,trade,33,2023-12-31T09:39:32Z,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,1143438102,0.0000100,credit_alphanum4,BCBS,GCJGGDUCC6TIIK7YLVR5KFWUXGHO3FLCJYMPHO3UB5HVDCALSYFGBCBS,0.0000001,native,,
1,"{'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954378'}, 'succeeds': {'href': 'https://horizon.stellar.org/effects?order=desc&cursor=213489428281954378-1'}, 'precedes': {'href': 'https://horizon.stellar.org/effects?order=asc&cursor=213489428281954378-1'}}",0213489428281954378-0000000001,213489428281954378-1,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,trade,33,2023-12-31T09:39:32Z,GB35UVCM6WHF3D66B6N5J2B6RIMTOUQ6QTUWCVZVIDPADJYVLO75BCBS,1143438102,0.0000001,native,,,0.0000100,credit_alphanum4,BCBS,GCJGGDUCC6TIIK7YLVR5KFWUXGHO3FLCJYMPHO3UB5HVDCALSYFGBCBS
2,"{'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954377'}, 'succeeds': {'href': 'https://horizon.stellar.org/effects?order=desc&cursor=213489428281954377-2'}, 'precedes': {'href': 'https://horizon.stellar.org/effects?order=asc&cursor=213489428281954377-2'}}",0213489428281954377-0000000002,213489428281954377-2,GDXUMXZNFQX5ETUE7TEMIKF4UMVZ2XMRGQRWCZ2FUDPEVMDT44TDBCBS,trade,33,2023-12-31T09:39:32Z,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,1143437539,0.0000120,credit_alphanum12,SILVER,GD4FXSRTQPEJLPWZ7R3WQ34RARO6Z5DLF4SLUT44DMG3ZCSANTJZSLVR,0.0000006,native,,
3,"{'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954377'}, 'succeeds': {'href': 'https://horizon.stellar.org/effects?order=desc&cursor=213489428281954377-1'}, 'precedes': {'href': 'https://horizon.stellar.org/effects?order=asc&cursor=213489428281954377-1'}}",0213489428281954377-0000000001,213489428281954377-1,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,trade,33,2023-12-31T09:39:32Z,GDXUMXZNFQX5ETUE7TEMIKF4UMVZ2XMRGQRWCZ2FUDPEVMDT44TDBCBS,1143437539,0.0000006,native,,,0.0000120,credit_alphanum12,SILVER,GD4FXSRTQPEJLPWZ7R3WQ34RARO6Z5DLF4SLUT44DMG3ZCSANTJZSLVR
4,"{'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954376'}, 'succeeds': {'href': 'https://horizon.stellar.org/effects?order=desc&cursor=213489428281954376-2'}, 'precedes': {'href': 'https://horizon.stellar.org/effects?order=asc&cursor=213489428281954376-2'}}",0213489428281954376-0000000002,213489428281954376-2,GCPLMZ5S75KPOGAOC2EXZDR6TQ5V6FQYJ6N5RYRY2BSL5RTEMMORBCBS,trade,33,2023-12-31T09:39:32Z,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,1143437219,0.0000120,credit_alphanum12,PALLADIUM,GCHPB2XO6XIDEU4X2L333AJEUHDC2XF7WYH2OACNKUXLRIQOUUXQPALL,0.0000006,native,,
5,"{'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954376'}, 'succeeds': {'href': 'https://horizon.stellar.org/effects?order=desc&cursor=213489428281954376-1'}, 'precedes': {'href': 'https://horizon.stellar.org/effects?order=asc&cursor=213489428281954376-1'}}",0213489428281954376-0000000001,213489428281954376-1,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,trade,33,2023-12-31T09:39:32Z,GCPLMZ5S75KPOGAOC2EXZDR6TQ5V6FQYJ6N5RYRY2BSL5RTEMMORBCBS,1143437219,0.0000006,native,,,0.0000120,credit_alphanum12,PALLADIUM,GCHPB2XO6XIDEU4X2L333AJEUHDC2XF7WYH2OACNKUXLRIQOUUXQPALL
6,"{'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954375'}, 'succeeds': {'href': 'https://horizon.stellar.org/effects?order=desc&cursor=213489428281954375-2'}, 'precedes': {'href': 'https://horizon.stellar.org/effects?order=asc&cursor=213489428281954375-2'}}",0213489428281954375-0000000002,213489428281954375-2,GBFJY42DJJTF2NQJDNLGT7GSCDRB5WSV62RYDE53Z2QFHQE5DYVVK4Q2,trade,33,2023-12-31T09:39:32Z,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,1439295299,0.0000120,credit_alphanum12,PLATINUM,GATG6UKVQZKHK54WGHXA6M3UZQ22JNG7KFYWPBHJPORLSQ5GCMFWPLAT,0.0000006,native,,
7,"{'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954375'}, 'succeeds': {'href': 'https://horizon.stellar.org/effects?order=desc&cursor=213489428281954375-1'}, 'precedes': {'href': 'https://horizon.stellar.org/effects?order=asc&cursor=213489428281954375-1'}}",0213489428281954375-0000000001,213489428281954375-1,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,trade,33,2023-12-31T09:39:32Z,GBFJY42DJJTF2NQJDNLGT7GSCDRB5WSV62RYDE53Z2QFHQE5DYVVK4Q2,1439295299,0.0000006,native,,,0.0000120,credit_alphanum12,PLATINUM,GATG6UKVQZKHK54WGHXA6M3UZQ22JNG7KFYWPBHJPORLSQ5GCMFWPLAT
8,"{'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954373'}, 'succeeds': {'href': 'https://horizon.stellar.org/effects?order=desc&cursor=213489428281954373-2'}, 'precedes': {'href': 'https://horizon.stellar.org/effects?order=asc&cursor=213489428281954373-2'}}",0213489428281954373-0000000002,213489428281954373-2,GBMI77C2L3DHN5NPEVHNBNWWYNVVDL3OG2XEYH4Q6UGY3AQC3LTXBQEH,trade,33,2023-12-31T09:39:32Z,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,1139272720,0.0000100,credit_alphanum12,eTRUCK,GBJOFUDCHDBEBS2CP7CQY3RXWDXGFDFOQSQAY36ZGV55AUGYN4HCI5IP,0.0000001,native,,
9,"{'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954373'}, 'succeeds': {'href': 'https://horizon.stellar.org/effects?order=desc&cursor=213489428281954373-1'}, 'precedes': {'href': 'https://horizon.stellar.org/effects?order=asc&cursor=213489428281954373-1'}}",0213489428281954373-0000000001,213489428281954373-1,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,trade,33,2023-12-31T09:39:32Z,GBMI77C2L3DHN5NPEVHNBNWWYNVVDL3OG2XEYH4Q6UGY3AQC3LTXBQEH,1139272720,0.0000001,native,,,0.0000100,credit_alphanum12,eTRUCK,GBJOFUDCHDBEBS2CP7CQY3RXWDXGFDFOQSQAY36ZGV55AUGYN4HCI5IP
