,id,amount,price,selling_asset_type,selling_asset_code,selling_asset_issuer,buying_asset_type,buying_asset_code,buying_asset_issuer
0,2,1.9991535,95.1500000,credit_alphanum4,CHP,GDW3CNKSP5AOTDQ2YCKNGC6L65CE4JDX3JS5BV427OB54HCF2J4PUEVG,credit_alphanum4,BEER,GDW3CNKSP5AOTDQ2YCKNGC6L65CE4JDX3JS5BV427OB54HCF2J4PUEVG
1,167,1.0000000,0.0200000,native,,,credit_alphanum4,CNY,GDOT4WJYCDEEHC6WS42OWZD2IWNJSGE64IJIQNMYFCNS4KY6A4KIZFOX
2,168,9.9999990,100.0000000,credit_alphanum4,CNY,GDOT4WJYCDEEHC6WS42OWZD2IWNJSGE64IJIQNMYFCNS4KY6A4KIZFOX,native,,
3,172,20.0000000,0.0500000,native,,,credit_alphanum4,BTC,GATEMHCCKCY67ZUCKTROYN24ZYT5GK4EQZ65JJLDHKHRUZI3EUEKMTCH
4,174,20.0000000,0.1000000,native,,,credit_alphanum4,BTC,GATEMHCCKCY67ZUCKTROYN24ZYT5GK4EQZ65JJLDHKHRUZI3EUEKMTCH
5,1711,1.0000000,1000000.0000000,credit_alphanum4,BTC,GATEMHCCKCY67ZUCKTROYN24ZYT5GK4EQZ65JJLDHKHRUZI3EUEKMTCH,native,,
6,1713,2.6230000,10000000.0000000,credit_alphanum4,BTC,GATEMHCCKCY67ZUCKTROYN24ZYT5GK4EQZ65JJLDHKHRUZI3EUEKMTCH,native,,
7,1846,14.0000000,71.4285714,credit_alphanum4,CNY,GAREELUB43IRHWEASCFBLKHURCGMHE5IF6XSE7EXDLACYHGRHM43RFOX,native,,
8,1847,13.5000000,74.0740741,credit_alphanum4,CNY,GAREELUB43IRHWEASCFBLKHURCGMHE5IF6XSE7EXDLACYHGRHM43RFOX,native,,
9,1848,13.0000000,76.9230769,credit_alphanum4,CNY,GAREELUB43IRHWEASCFBLKHURCGMHE5IF6XSE7EXDLACYHGRHM43RFOX,native,,
